Название компании,Название сделки,Телефон,Email,Сайт
Big LoftBig Loft лофт на Соколе,Big LoftBig Loft лофт на Соколе,79060684888,,https://www.loft2rent.ru/loft/153471/153474
Big Wine Freaks,Big Wine Freaks,74959683060,,https://bigwinefreaks.ru/msk/
Biwon,Biwon,74955001060,,https://foliogroup.ru/restaurants/biwon
Bizone Hookah Лофт c VIP залом на ВДНХ,Bizone Hookah Лофт c VIP залом на ВДНХ,79688444922,,https://www.reveltime.ru/venue/3292235?eventtype=vecherinka
Bizone Lounge Лофт-кальянная на Войковской,Bizone Lounge Лофт-кальянная на Войковской,79777137848,,https://www.reveltime.ru/venue/3292221?eventtype=vecherinka
Björn,Björn,74959539059,,https://bjorn.rest
Björn,Björn,74959539059,,http://bjorn.rest/
BLACK,BLACK,79219254594,,https://www.loft2rent.ru/loft/79646
Black and White Loft,Black and White Loft,79883888050,,https://www.loft2rent.ru/loft/22069/26746
Black and White LoftWhite Loft,Black and White LoftWhite Loft,79883888050,,https://www.loft2rent.ru/loft/22069/34046
BLACK NEON LOFT,BLACK NEON LOFT,79959885656,,https://www.loft2rent.ru/loft/85459/85463
BLACK OUT,BLACK OUT,79251539733,,https://www.loft2rent.ru/loft/132167
BLACK OUT (Блэк аут). Стильный черный лофт,BLACK OUT (Блэк аут). Стильный черный лофт,79346608162,,https://www.reveltime.ru/venue/8458180?eventtype=vecherinka
Black Room,Black Room,74954780638,,https://www.loft2rent.ru/loft/109926
BlackBerry — просторный лофт с банкетной зоной рядом с метро,BlackBerry — просторный лофт с банкетной зоной рядом с метро,79585782362,,https://www.loft2rent.ru/loft/loftaviator
BLADE,BLADE,74951201905,,https://www.loft2rent.ru/loft/5338
Blanc,Blanc,74991163431,,https://www.loft2rent.ru/loft/spaceandplace
blanche.place,blanche.place,79995374173,,https://www.loft2rent.ru/loft/120937
Blank (Бланк). Светлый лофт с верандой,Blank (Бланк). Светлый лофт с верандой,79676932714,,https://www.reveltime.ru/venue/8931873?eventtype=vecherinka
Blisski,Blisski,79804321043,,https://www.loft2rent.ru/loft/126555/149070
Bluefin Event Hall Жуковка,Bluefin Event Hall Жуковка,79251015036,,https://www.loft2rent.ru/loft/204424/204426
BOAR studio,BOAR studio,79162311010,,https://www.loft2rent.ru/loft/176377/176379
Bogasthetic,Bogasthetic,79533786763,,https://www.loft2rent.ru/loft/144391/144531
Bogema (Богема). Зал Баланс,Bogema (Богема). Зал Баланс,79584974208,,https://www.reveltime.ru/venue/9011819?eventtype=vecherinka
BOGEMA (БОГЕМА). Какао. ЭЙФОРИЯ,BOGEMA (БОГЕМА). Какао. ЭЙФОРИЯ,79893636021,,https://www.reveltime.ru/venue/3393175?eventtype=vecherinka
Bogema (Богема). Лофт Фрейм,Bogema (Богема). Лофт Фрейм,79584974206,,https://www.reveltime.ru/venue/9009571?eventtype=vecherinka
BOGEMA. BALANCE (БОГЕМА. БАЛАНС). Универсальный лофт,BOGEMA. BALANCE (БОГЕМА. БАЛАНС). Универсальный лофт,79584974139,,https://www.reveltime.ru/venue/4062896?eventtype=vecherinka
Boho loft,Boho loft,74950080403,,https://www.loft2rent.ru/loft/30985
Bolshevik Loft (Black Loft),Bolshevik Loft (Black Loft),74952276780,info@bolshevikloft.ru,https://blackloft.bolshevikloft.ru
Book&GameИнтеллектуальное пространство,Book&GameИнтеллектуальное пространство,79033056148,,https://www.loft2rent.ru/loft/107767/107769
Boom Box лофт клубЛофт Boom Box (big hall),Boom Box лофт клубЛофт Boom Box (big hall),79293034884,,https://www.loft2rent.ru/loft/171910/171938
Boom Box лофт клубЛофт Boom Box (small hall),Boom Box лофт клубЛофт Boom Box (small hall),79137084884,,https://www.loft2rent.ru/loft/171910/172209
Borodino Hotel,Borodino Hotel,,retail@pegast.ru,https://pegast.ru/hotel/russia/moscow/moscow/alliance-borodino-hotel-795949843
Bosch Russia,Bosch Russia,74955609560,,https://www.bosch.ru
Boston Seafood & Bar,Boston Seafood & Bar,79636299558,,https://boston-restaurant.ru/
Bounce,Bounce,74958433175,,https://www.loft2rent.ru/loft/108466
Boutique Hotel Tanya Moscow,Boutique Hotel Tanya Moscow,,85d71a895e71448591e0e0b21fa9e7af@stacks.vk,https://vk.com/club35702035
Boutique Hotel Помещение с большими окнами,Boutique Hotel Помещение с большими окнами,79945064895,,https://www.reveltime.ru/venue/3655970?eventtype=vecherinka
Boxberry,Boxberry,,corpndd@dostavka.yandex.ru,https://boxberry.ru
British American Tobacco,British American Tobacco,,,https://www.bat.com
Brix,Brix,79999111370,,https://brixbar.ru
BRODNIKI LOFT,BRODNIKI LOFT,79967161994,,https://www.loft2rent.ru/loft/115308
Brodniki Loft (Бродники Лофт. )Лофт из белого кирпича,Brodniki Loft (Бродники Лофт. )Лофт из белого кирпича,79676928564,,https://www.reveltime.ru/venue/6587746?eventtype=vecherinka
Brodo Bar & Kitchen,Brodo Bar & Kitchen,79264100180,brodobarmoscow@gmail.com,https://brodo.moscow
Bronze,Bronze,73433630042,,https://www.loft2rent.ru/loft/115047
Brooklyn Hookah,Brooklyn Hookah,79647117635,,https://www.loft2rent.ru/loft/159066/159280
Brosko Loft,Brosko Loft,79500219153,,https://www.loft2rent.ru/loft/126318
BRULLOV HALL,BRULLOV HALL,78123171220,,https://www.loft2rent.ru/loft/5338
Bruno,Bruno,74958189888,,https://bruno.lucky-group.rest/ru/
"BRUTAL - лофт со своим выходом во двор, 8 минут от метро Бауманская","BRUTAL - лофт со своим выходом во двор, 8 минут от метро Бауманская",79585782362,,https://www.loft2rent.ru/loft/loftaviator
Budda loft с уютной верандой и грилем,Budda loft с уютной верандой и грилем,74950080403,,https://www.loft2rent.ru/loft/30985
Bull Loft,Bull Loft,79965667788,,https://www.loft2rent.ru/loft/130572
Bunker 42,Bunker 42,74997034455,zakaz@bunker42.com,https://bunker42.com
BunkerELYZIUM LOFT,BunkerELYZIUM LOFT,79853489466,,https://www.loft2rent.ru/loft/147456/149189
Burda Media Russia,Burda Media Russia,,,https://burda.ru
Burnova,Burnova,79812161717,,https://www.loft2rent.ru/loft/117455/117462
Buro TSUM,Buro TSUM,74952767678,,http://www.burotsum.com/
Business FM,Business FM,,,https://bfm.ru
Business lounge hotel (Бизнес Лаундж Отель),Business lounge hotel (Бизнес Лаундж Отель),74952223775,busness.hotel@bk.ru,https://business-lounge-hotel.ru
Business lounge hotel (Бизнес Лаундж Отель),Business lounge hotel (Бизнес Лаундж Отель),,,https://ostrovok.ru/hotel/russia/moscow/mid9988118/business_lounge_hotel
Butler,Butler,74951504586,,https://butler.rest
Bvlgari Hotel Moscow,Bvlgari Hotel Moscow,74952525555,reservations@stelladimosca.ru,https://stelladimoscahotel.com
Cactus loft,Cactus loft,74950080403,,https://www.loft2rent.ru/loft/30985
Cafe Pushkin,Cafe Pushkin,74957390033,,https://cafe-pushkin.ru
Calma SpaceCalma Space \,Calma SpaceCalma Space \,,,лофт
Campus,Campus,79261003263,,https://www.loft2rent.ru/loft/59771/59786
Campus loft (Кампус лофт). Просторный лофт,Campus loft (Кампус лофт). Просторный лофт,79261003263,,https://www.reveltime.ru/venue/3877537?eventtype=vecherinka
Campus loft (Кампус лофт). Просторный лофт,Campus loft (Кампус лофт). Просторный лофт,79261003263,,https://www.reveltime.ru/venue/1769333?eventtype=vecherinka
Candy Loft,Candy Loft,74950080403,,https://www.loft2rent.ru/loft/30985
Cantinetta Antinori,Cantinetta Antinori,74992413325,,http://cantinettaantinori.ru/
CAPELLA,CAPELLA,78123171220,,https://www.loft2rent.ru/loft/5338
Capital Group,Capital Group,74957717777,info@capitalgroup.ru,https://capitalgroup.ru
Carat Loft,Carat Loft,79956266565,,https://www.loft2rent.ru/loft/134148
Carnicería vino,Carnicería vino,74951331451,,https://carniceriavino.ru/
Casa Picassa. Лофт Климт (Каса Пикасса),Casa Picassa. Лофт Климт (Каса Пикасса),79586097164,,https://www.reveltime.ru/venue/2764553?eventtype=vecherinka
Cascad (Каскад). Лофт в центре Москвы с высоким потолком,Cascad (Каскад). Лофт в центре Москвы с высоким потолком,79584974160,,https://www.reveltime.ru/venue/318101?eventtype=vecherinka
Cassia Loft,Cassia Loft,78122407727,,https://www.loft2rent.ru/loft/74440
CASTLE CONCERT HALL,CASTLE CONCERT HALL,79152576238,,https://www.loft2rent.ru/loft/209661/209663
CASTLE CONCERT HALL- Ночной Клуб,CASTLE CONCERT HALL- Ночной Клуб,79255165332,,https://www.loft2rent.ru/loft/172081
Cat Factory,Cat Factory,79263890166,,https://www.loft2rent.ru/loft/178861/178863
Cat Factory (Фабрика кэт). Лофт-пространство с дизайнерскими окнами,Cat Factory (Фабрика кэт). Лофт-пространство с дизайнерскими окнами,79584974150,,https://www.reveltime.ru/venue/7777267?eventtype=vecherinka
Cats PubАниме,Cats PubАниме,79134628525,,https://www.loft2rent.ru/loft/173987/173991
Centrale Bistro by Evgeny Vikentev,Centrale Bistro by Evgeny Vikentev,79252159521,,https://alfa.me/db1OAY
Chainaya. Tea & Cocktails,Chainaya. Tea & Cocktails,74959673052,,https://www.instagram.com/chainayateandcocktails/
CHALET + ROOF,CHALET + ROOF,74950323635,,https://www.loft2rent.ru/loft/1926
Chalet StudioГончарная мастерская Chalet Китай-город,Chalet StudioГончарная мастерская Chalet Китай-город,74999951280,,https://www.loft2rent.ru/loft/187831/190134
Chalet StudioГончарная мастерская Chalet Кропоткинская,Chalet StudioГончарная мастерская Chalet Кропоткинская,74999951280,,https://www.loft2rent.ru/loft/187831/190136
Chalet StudioГончарная мастерская Poetrie Киевская,Chalet StudioГончарная мастерская Poetrie Киевская,74999951280,,https://www.loft2rent.ru/loft/187831/190132
Chalet StudioМастерская Poetrie Баррикадная,Chalet StudioМастерская Poetrie Баррикадная,74999951280,,https://www.loft2rent.ru/loft/187831/189568
Chalet StudioСтудия Chalet на Белорусской,Chalet StudioСтудия Chalet на Белорусской,74999951280,,https://www.loft2rent.ru/loft/187831/189307
Chalet StudioСтудия Chalet Тверская,Chalet StudioСтудия Chalet Тверская,74999951280,,https://www.loft2rent.ru/loft/187831/189306
Chalfei Catering Лофт Manolo,Chalfei Catering Лофт Manolo,73433439080,,https://www.loft2rent.ru/loft/130734/130764
Chalfei CateringЛофт LOUIS,Chalfei CateringЛофт LOUIS,73433439080,,https://www.loft2rent.ru/loft/130734/130916
Champagne Hall,Champagne Hall,79999917444,,https://www.loft2rent.ru/loft/199380
Championat,Championat,,a.aleynikov@championat.com,https://www.championat.com
Channel One Russia,Channel One Russia,,,https://www.1tv.ru
Chef’s Table,Chef’s Table,79067569599,,https://www.chefs-table.ru/
Chekhoff Hotel Moscow,Chekhoff Hotel Moscow,74959807000,reservations@chekhoffhotel.com,https://chekhoffhotel.com
Cherdachok loftЛофт Чердачок с Верандой,Cherdachok loftЛофт Чердачок с Верандой,79151232614,,https://www.loft2rent.ru/loft/136212/136216
Cherkizovo Group,Cherkizovo Group,74742908000,bg-2-mob@2x.png,https://cherkizovo.com
Chess & Jazz,Chess & Jazz,,info@chessandjazz.com,https://chessandjazz.com
Chill Out Loft Молодежная 26,Chill Out Loft Молодежная 26,79039328089,,https://www.loft2rent.ru/loft/86655
CHILLING Moscow,CHILLING Moscow,74953084062,,https://chillingmoscow.com
CHINA-LOFT,CHINA-LOFT,79689206172,,https://www.loft2rent.ru/loft/120074/120180
Chorse Lounge 1905 / Чорс,Chorse Lounge 1905 / Чорс,79680494444,,https://www.loft2rent.ru/loft/72107
Chorse Lounge Лихаборы,Chorse Lounge Лихаборы,79266764076,,https://www.loft2rent.ru/loft/72107
Christian,Christian,79859992569,christian4friends@gmail.com,https://christianforfriends.ru
Christian,Christian,74992432569,,http://christianforfriends.ru/
CINDY,CINDY,74951201905,,https://www.loft2rent.ru/loft/5338
CinemarentCinemarenx,CinemarentCinemarenx,74994902325,,https://www.loft2rent.ru/loft/198355/198364
Citilink,Citilink,74957802002,,https://www.citilink.ru
Citrus Hall (Цитрус Зал). Бергамот,Citrus Hall (Цитрус Зал). Бергамот,79910172413,,https://www.reveltime.ru/venue/5738655?eventtype=vecherinka
City History Festival,City History Festival,,u003eum.info@mos.ru,https://um.mos.ru
City Space Bar,City Space Bar,74952215357,ha5b4-fb5@accor.ru,https://cityspacebar.com
City View Hotel,City View Hotel,,cityview@mail.ru,https://cva.city
CityRentAmour - Апартаменты с ванной у панорамы,CityRentAmour - Апартаменты с ванной у панорамы,79206100062,,https://www.loft2rent.ru/loft/204785/204788
CityRentBrio - Апртаменты в Москва сити с видом на башни,CityRentBrio - Апртаменты в Москва сити с видом на башни,79206100062,,https://www.loft2rent.ru/loft/204785/204833
CityRentHorizon - Апартаменты в Москва сити,CityRentHorizon - Апартаменты в Москва сити,79206100062,,https://www.loft2rent.ru/loft/204785/204817
CityRentLux - новые апартаменты в Москва сити,CityRentLux - новые апартаменты в Москва сити,79206100062,,https://www.loft2rent.ru/loft/204785/204823
